,Ef,rho,of,gtf,ea_mean,spec_heat_mean,heat_fus_mean,vdw_mean,atom_rad_mean,av_ionrad_mean,av_rsp_mean,x_mean,Ehull,Eg
0,-0.6579999999999999,5.29,0.818181818,1.079516353,0.8603044,0.3778,0.28925120000000004,2.126,1.3,0.7384,0.8745,1.9080000000000001,0.011000000000000001,0.0
1,-0.9009999999999999,5.131,1.211778029,0.9750325459999999,2.574204,0.6426,0.06628328,2.128,1.48,1.1058,1.057,2.4419999999999997,0.0,0.68
2,-0.865,4.752,1.211778029,0.920723269,2.5770627999999998,0.667,0.06649048,2.048,1.49,1.0758,1.036,2.448,0.0,0.7509999999999999
3,-1.9869999999999999,3.563,1.291053228,0.941294395,2.117388,0.74298,0.05807816,2.258,1.57,1.1198,1.091,2.134,0.0,4.404
4,-1.9580000000000002,3.0269999999999997,1.291053228,0.8399296070000001,2.1233568,0.84598,0.05857544,2.122,1.49,1.0618,1.0290000000000001,2.14,0.001,4.595
5,-1.962,3.355,1.291053228,0.888864332,2.1202468,0.7673800000000001,0.05828536,2.178,1.58,1.0898,1.07,2.14,0.0,4.628
6,-1.278,4.332,1.2344280859999999,0.96514879,1.9673779999999998,0.66278,0.05343688,2.112,1.52,1.1098,1.0125,2.272,0.0,2.9019999999999997
7,-1.251,4.305,1.2344280859999999,0.911390038,1.9702368000000001,0.68718,0.05364408,2.032,1.53,1.0798,0.9915,2.278,0.0,2.7539999999999996
8,-0.8859999999999999,5.757999999999999,1.2344280859999999,0.7941959590000001,1.9130528000000002,0.64018,0.05780880000000001,1.818,1.38,1.0144,0.805,2.438,0.001,2.747
9,0.138,4.511,0.8697621740000001,0.78077266,2.2837528,0.7421800000000001,0.1120952,2.08,1.24,0.8714,0.8059999999999999,2.484,0.785,0.0
10,-0.892,4.1610000000000005,0.8697621740000001,1.089141456,2.2477367999999998,0.72538,0.07415688,2.1959999999999997,1.49,1.0154,0.972,2.316,0.011000000000000001,0.0
11,-1.1320000000000001,4.165,1.064552661,1.044563117,2.245678,0.70638,0.08285928,2.286,1.49,1.0798,1.035,2.266,0.067,0.0
12,-0.932,4.355,0.928652322,1.1181670940000001,2.3594779999999997,0.69366,0.06752648,2.076,1.48,1.0558,0.995,2.314,0.0,0.37799999999999995
13,-1.6130000000000002,4.825,1.280860702,0.945500775,2.182878,0.65018,0.06338248,2.358,1.56,1.1179999999999999,1.0888,2.178,0.094,0.0
